sentence,clean_text,tokens,label
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs,"['the', 'movi', 'is', 'litter', 'with', 'overt', 'racial', 'slur', 'toward', 'the', 'black', 'cast', 'member', 'and', 'in', 'return', 'the', 'white', 'are', 'depict', 'as', 'moron', 'and', 'boob']",0
Battery life is real good.,battery life is real good,"['batteri', 'life', 'is', 'real', 'good']",1
Duris has a wholesome appearance and gives a fine performance.  ,duris has a wholesome appearance and gives a fine performance,"['duri', 'ha', 'a', 'wholesom', 'appear', 'and', 'give', 'a', 'fine', 'perform']",1
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",lewis black s considerable talent is wasted here too as he is at his most incendiary when he is unrestrained which the pg rating certainly will not allow,"['lewi', 'black', 's', 'consider', 'talent', 'is', 'wast', 'here', 'too', 'as', 'he', 'is', 'at', 'hi', 'most', 'incendiari', 'when', 'he', 'is', 'unrestrain', 'which', 'the', 'pg', 'rate', 'certainli', 'will', 'not', 'allow']",0
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,we had a group of when we claimed we would only have and they handled us beautifully,"['we', 'had', 'a', 'group', 'of', 'when', 'we', 'claim', 'we', 'would', 'onli', 'have', 'and', 'they', 'handl', 'us', 'beauti']",1
I rate this movie 9/10.  ,i rate this movie,"['i', 'rate', 'thi', 'movi']",1
Last night was my second time dining here and I was so happy I decided to go back!,last night was my second time dining here and i was so happy i decided to go back,"['last', 'night', 'wa', 'my', 'second', 'time', 'dine', 'here', 'and', 'i', 'wa', 'so', 'happi', 'i', 'decid', 'to', 'go', 'back']",1
Now the pizza itself was good the peanut sauce was very tasty.,now the pizza itself was good the peanut sauce was very tasty,"['now', 'the', 'pizza', 'itself', 'wa', 'good', 'the', 'peanut', 'sauc', 'wa', 'veri', 'tasti']",1
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",stopped by this place while in madison for the ironman very friendly kind staff,"['stop', 'by', 'thi', 'place', 'while', 'in', 'madison', 'for', 'the', 'ironman', 'veri', 'friendli', 'kind', 'staff']",1
They brought a fresh batch of fries and I was thinking yay something warm but no!,they brought a fresh batch of fries and i was thinking yay something warm but no,"['they', 'brought', 'a', 'fresh', 'batch', 'of', 'fri', 'and', 'i', 'wa', 'think', 'yay', 'someth', 'warm', 'but', 'no']",0
"For service, I give them no stars.",for service i give them no stars,"['for', 'servic', 'i', 'give', 'them', 'no', 'star']",0
Go rent it.  ,go rent it,"['go', 'rent', 'it']",1
The selection of food was not the best.,the selection of food was not the best,"['the', 'select', 'of', 'food', 'wa', 'not', 'the', 'best']",0
I've never been treated so bad.,i have never been treated so bad,"['i', 'have', 'never', 'been', 'treat', 'so', 'bad']",0
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",but the convoluted plot just did not convince me and much of the film was watched with a weird questioning glance,"['but', 'the', 'convolut', 'plot', 'just', 'did', 'not', 'convinc', 'me', 'and', 'much', 'of', 'the', 'film', 'wa', 'watch', 'with', 'a', 'weird', 'question', 'glanc']",0
"Both of them were truly unbelievably good, and I am so glad we went back.",both of them were truly unbelievably good and i am so glad we went back,"['both', 'of', 'them', 'were', 'truli', 'unbeliev', 'good', 'and', 'i', 'am', 'so', 'glad', 'we', 'went', 'back']",1
Easy to use.,easy to use,"['easi', 'to', 'use']",1
"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",this movie contained an all star cast and what i loved the most was that it opened my eyes to see other actors who i have not seen before,"['thi', 'movi', 'contain', 'an', 'all', 'star', 'cast', 'and', 'what', 'i', 'love', 'the', 'most', 'wa', 'that', 'it', 'open', 'my', 'eye', 'to', 'see', 'other', 'actor', 'who', 'i', 'have', 'not', 'seen', 'befor']",1
disappointed.,disappointed,['disappoint'],0
The one down note is the ventilation could use some upgrading.,the one down note is the ventilation could use some upgrading,"['the', 'one', 'down', 'note', 'is', 'the', 'ventil', 'could', 'use', 'some', 'upgrad']",0
Lousy product.,lousy product,"['lousi', 'product']",0
Works like a charm; it work the same as the one I got with the phone.,works like a charm it work the same as the one i got with the phone,"['work', 'like', 'a', 'charm', 'it', 'work', 'the', 'same', 'as', 'the', 'one', 'i', 'got', 'with', 'the', 'phone']",1
Maybe if they weren't cold they would have been somewhat edible.,maybe if they were not cold they would have been somewhat edible,"['mayb', 'if', 'they', 'were', 'not', 'cold', 'they', 'would', 'have', 'been', 'somewhat', 'edibl']",0
Do not waste your money here!,do not waste your money here,"['do', 'not', 'wast', 'your', 'money', 'here']",0
I ordered the Lemon raspberry ice cocktail which was also incredible.,i ordered the lemon raspberry ice cocktail which was also incredible,"['i', 'order', 'the', 'lemon', 'raspberri', 'ice', 'cocktail', 'which', 'wa', 'also', 'incred']",1
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,the only very disappointing thing was there was no speakerphone,"['the', 'onli', 'veri', 'disappoint', 'thing', 'wa', 'there', 'wa', 'no', 'speakerphon']",0
"Same evening, him and I are both drastically sick.",same evening him and i are both drastically sick,"['same', 'even', 'him', 'and', 'i', 'are', 'both', 'drastic', 'sick']",0
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",i ate there twice on my last visit and especially enjoyed the salmon salad,"['i', 'ate', 'there', 'twice', 'on', 'my', 'last', 'visit', 'and', 'especi', 'enjoy', 'the', 'salmon', 'salad']",1
I am sorry I made this purchase.,i am sorry i made this purchase,"['i', 'am', 'sorri', 'i', 'made', 'thi', 'purchas']",0
Worst martini ever!,worst martini ever,"['worst', 'martini', 'ever']",0
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",i would definitely recommend the jabra bt250v for those who are looking for comfort clarity and a great price,"['i', 'would', 'definit', 'recommend', 'the', 'jabra', 'bt', 'v', 'for', 'those', 'who', 'are', 'look', 'for', 'comfort', 'clariti', 'and', 'a', 'great', 'price']",1
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",but if you liked movies like the matrix and better yet their sequels i think you will appreciate the thought provoking mindblowing experience this film will give you,"['but', 'if', 'you', 'like', 'movi', 'like', 'the', 'matrix', 'and', 'better', 'yet', 'their', 'sequel', 'i', 'think', 'you', 'will', 'appreci', 'the', 'thought', 'provok', 'mindblow', 'experi', 'thi', 'film', 'will', 'give', 'you']",1
"If you like a loud buzzing to override all your conversations, then this phone is for you!",if you like a loud buzzing to override all your conversations then this phone is for you,"['if', 'you', 'like', 'a', 'loud', 'buzz', 'to', 'overrid', 'all', 'your', 'convers', 'then', 'thi', 'phone', 'is', 'for', 'you']",0
This is a great little item.,this is a great little item,"['thi', 'is', 'a', 'great', 'littl', 'item']",1
Favorite place in town for shawarrrrrrma!!!!!!,favorite place in town for shawarrrrrrma,"['favorit', 'place', 'in', 'town', 'for', 'shawarrrrrrma']",1
I'm very disappointed with my decision.,i am very disappointed with my decision,"['i', 'am', 'veri', 'disappoint', 'with', 'my', 'decis']",0
The dialogue is composed of things that make little sense.  ,the dialogue is composed of things that make little sense,"['the', 'dialogu', 'is', 'compos', 'of', 'thing', 'that', 'make', 'littl', 'sens']",0
Not recommended.  ,not recommended,"['not', 'recommend']",0
All in all its an insult to one's intelligence and a huge waste of money.  ,all in all its an insult to one s intelligence and a huge waste of money,"['all', 'in', 'all', 'it', 'an', 'insult', 'to', 'one', 's', 'intellig', 'and', 'a', 'huge', 'wast', 'of', 'money']",0
"Fits comfortably, came with three sizes of earbud tips.",fits comfortably came with three sizes of earbud tips,"['fit', 'comfort', 'came', 'with', 'three', 'size', 'of', 'earbud', 'tip']",1
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",i live in the neighborhood so i am disappointed i will not be back here because it is a convenient location,"['i', 'live', 'in', 'the', 'neighborhood', 'so', 'i', 'am', 'disappoint', 'i', 'will', 'not', 'be', 'back', 'here', 'becaus', 'it', 'is', 'a', 'conveni', 'locat']",0
"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",the film is well paced understated and one of the best courtroom documentaries i have seen,"['the', 'film', 'is', 'well', 'pace', 'underst', 'and', 'one', 'of', 'the', 'best', 'courtroom', 'documentari', 'i', 'have', 'seen']",1
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,ordered an appetizer and took minutes and then the pizza another minutes,"['order', 'an', 'appet', 'and', 'took', 'minut', 'and', 'then', 'the', 'pizza', 'anoth', 'minut']",0
This pair of headphones is the worst that I have ever had sound-wise.,this pair of headphones is the worst that i have ever had sound wise,"['thi', 'pair', 'of', 'headphon', 'is', 'the', 'worst', 'that', 'i', 'have', 'ever', 'had', 'sound', 'wise']",0
The only redeeming quality of the restaurant was that it was very inexpensive.,the only redeeming quality of the restaurant was that it was very inexpensive,"['the', 'onli', 'redeem', 'qualiti', 'of', 'the', 'restaur', 'wa', 'that', 'it', 'wa', 'veri', 'inexpens']",1
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",i have had no trouble accessing the internet downloading ringtones or performing any of the functions,"['i', 'have', 'had', 'no', 'troubl', 'access', 'the', 'internet', 'download', 'rington', 'or', 'perform', 'ani', 'of', 'the', 'function']",1
Soyo technology sucks.,soyo technology sucks,"['soyo', 'technolog', 'suck']",0
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,in addition it feels looks as if the phone is all lightweight cheap plastic,"['in', 'addit', 'it', 'feel', 'look', 'as', 'if', 'the', 'phone', 'is', 'all', 'lightweight', 'cheap', 'plastic']",0
The text messaging feature is really tricky to use.,the text messaging feature is really tricky to use,"['the', 'text', 'messag', 'featur', 'is', 'realli', 'tricki', 'to', 'use']",0
The entire audience applauded at the conclusion of the film.  ,the entire audience applauded at the conclusion of the film,"['the', 'entir', 'audienc', 'applaud', 'at', 'the', 'conclus', 'of', 'the', 'film']",1
But now I was completely grossed out.,but now i was completely grossed out,"['but', 'now', 'i', 'wa', 'complet', 'gross', 'out']",0
My rating: just 3 out of 10.  ,my rating just out of,"['my', 'rate', 'just', 'out', 'of']",0
The folks at Otto always make us feel so welcome and special.,the folks at otto always make us feel so welcome and special,"['the', 'folk', 'at', 'otto', 'alway', 'make', 'us', 'feel', 'so', 'welcom', 'and', 'special']",1
The budget was evidently very limited.  ,the budget was evidently very limited,"['the', 'budget', 'wa', 'evid', 'veri', 'limit']",0
Was not happy.,was not happy,"['wa', 'not', 'happi']",0
"It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.  ",it is too bad that everyone else involved did not share crowe s level of dedication to quality for if they did we d have a far better film on our hands than this sub par mess,"['it', 'is', 'too', 'bad', 'that', 'everyon', 'els', 'involv', 'did', 'not', 'share', 'crow', 's', 'level', 'of', 'dedic', 'to', 'qualiti', 'for', 'if', 'they', 'did', 'we', 'd', 'have', 'a', 'far', 'better', 'film', 'on', 'our', 'hand', 'than', 'thi', 'sub', 'par', 'mess']",0
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",the bose noise cancelling is amazing which is very important for a nyc commuter,"['the', 'bose', 'nois', 'cancel', 'is', 'amaz', 'which', 'is', 'veri', 'import', 'for', 'a', 'nyc', 'commut']",1
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",every time he opened his mouth you expect to hear you see kids pulling the plug was a mercy killing for this horrible show,"['everi', 'time', 'he', 'open', 'hi', 'mouth', 'you', 'expect', 'to', 'hear', 'you', 'see', 'kid', 'pull', 'the', 'plug', 'wa', 'a', 'merci', 'kill', 'for', 'thi', 'horribl', 'show']",0
The service was outshining & I definitely recommend the Halibut.,the service was outshining i definitely recommend the halibut,"['the', 'servic', 'wa', 'outshin', 'i', 'definit', 'recommend', 'the', 'halibut']",1
I ordered this product first and was unhappy with it immediately.,i ordered this product first and was unhappy with it immediately,"['i', 'order', 'thi', 'product', 'first', 'and', 'wa', 'unhappi', 'with', 'it', 'immedi']",0
It didn't charge for me.,it did not charge for me,"['it', 'did', 'not', 'charg', 'for', 'me']",0
Were JERKS on the phone.,were jerks on the phone,"['were', 'jerk', 'on', 'the', 'phone']",0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",be sure to order dessert even if you need to pack it to go the tiramisu and cannoli are both to die for,"['be', 'sure', 'to', 'order', 'dessert', 'even', 'if', 'you', 'need', 'to', 'pack', 'it', 'to', 'go', 'the', 'tiramisu', 'and', 'cannoli', 'are', 'both', 'to', 'die', 'for']",1
I give it 2 thumbs down,i give it thumbs down,"['i', 'give', 'it', 'thumb', 'down']",0
Sooooo good!!,sooooo good,"['sooooo', 'good']",1
Horrible - don't waste your time and money.,horrible do not waste your time and money,"['horribl', 'do', 'not', 'wast', 'your', 'time', 'and', 'money']",0
"In a word, it is embarrassing.  ",in a word it is embarrassing,"['in', 'a', 'word', 'it', 'is', 'embarrass']",0
I purchased this and within 2 days it was no longer working!!!!!!!!!,i purchased this and within days it was no longer working,"['i', 'purchas', 'thi', 'and', 'within', 'day', 'it', 'wa', 'no', 'longer', 'work']",0
This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,this is definitely one of the better documentaries i have seen looking at family relationships and marriage,"['thi', 'is', 'definit', 'one', 'of', 'the', 'better', 'documentari', 'i', 'have', 'seen', 'look', 'at', 'famili', 'relationship', 'and', 'marriag']",1
"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",and i forgot the casting here i superb with trond fausa aurvåg being perfect in the role as the bothersome man who does not understand where he is what he is doing and why,"['and', 'i', 'forgot', 'the', 'cast', 'here', 'i', 'superb', 'with', 'trond', 'fausa', 'aurv', 'g', 'be', 'perfect', 'in', 'the', 'role', 'as', 'the', 'bothersom', 'man', 'who', 'doe', 'not', 'understand', 'where', 'he', 'is', 'what', 'he', 'is', 'do', 'and', 'whi']",1
Much less than the jawbone I was going to replace it with.,much less than the jawbone i was going to replace it with,"['much', 'less', 'than', 'the', 'jawbon', 'i', 'wa', 'go', 'to', 'replac', 'it', 'with']",1
We won't be returning.,we will not be returning,"['we', 'will', 'not', 'be', 'return']",0
Boy was that sucker dry!!.,boy was that sucker dry,"['boy', 'wa', 'that', 'sucker', 'dri']",0
The story line is just awful!  ,the story line is just awful,"['the', 'stori', 'line', 'is', 'just', 'aw']",0
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",it is super charged up for use as a small hybrid palmtop camera cellphone and excels in those roles,"['it', 'is', 'super', 'charg', 'up', 'for', 'use', 'as', 'a', 'small', 'hybrid', 'palmtop', 'camera', 'cellphon', 'and', 'excel', 'in', 'those', 'role']",1
Great food and awesome service!,great food and awesome service,"['great', 'food', 'and', 'awesom', 'servic']",1
Too bad you have to pay up to $$$ a month for the service!,too bad you have to pay up to a month for the service,"['too', 'bad', 'you', 'have', 'to', 'pay', 'up', 'to', 'a', 'month', 'for', 'the', 'servic']",0
Headset works great & was packaged nicely to avoid any damage.,headset works great was packaged nicely to avoid any damage,"['headset', 'work', 'great', 'wa', 'packag', 'nice', 'to', 'avoid', 'ani', 'damag']",1
Oh and I forgot to also mention the weird color effect it has on your phone.,oh and i forgot to also mention the weird color effect it has on your phone,"['oh', 'and', 'i', 'forgot', 'to', 'also', 'mention', 'the', 'weird', 'color', 'effect', 'it', 'ha', 'on', 'your', 'phone']",0
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself,"['i', 'ask', 'multipl', 'time', 'for', 'the', 'wine', 'list', 'and', 'after', 'some', 'time', 'of', 'be', 'ignor', 'i', 'went', 'to', 'the', 'hostess', 'and', 'got', 'one', 'myself']",0
Check it out.,check it out,"['check', 'it', 'out']",1
Cumbersome design.,cumbersome design,"['cumbersom', 'design']",0
worthless product.,worthless product,"['worthless', 'product']",0
"Plus, it was well-paced and suited its relatively short run time.  ",plus it was well paced and suited its relatively short run time,"['plu', 'it', 'wa', 'well', 'pace', 'and', 'suit', 'it', 'rel', 'short', 'run', 'time']",1
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat,"['i', 'had', 'high', 'hope', 'for', 'thi', 'place', 'sinc', 'the', 'burger', 'are', 'cook', 'over', 'a', 'charcoal', 'grill', 'but', 'unfortun', 'the', 'tast', 'fell', 'flat', 'way', 'flat']",0
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",director paul matthews who also wrote directed the weak monster movie grim clearly does not know how to pace his films,"['director', 'paul', 'matthew', 'who', 'also', 'wrote', 'direct', 'the', 'weak', 'monster', 'movi', 'grim', 'clearli', 'doe', 'not', 'know', 'how', 'to', 'pace', 'hi', 'film']",0
Very disappointed and wondered how it could be in the Oscar shortlist.  ,very disappointed and wondered how it could be in the oscar shortlist,"['veri', 'disappoint', 'and', 'wonder', 'how', 'it', 'could', 'be', 'in', 'the', 'oscar', 'shortlist']",0
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",i can hear while i am driving in the car and usually do not even have to put it on it is loudest setting,"['i', 'can', 'hear', 'while', 'i', 'am', 'drive', 'in', 'the', 'car', 'and', 'usual', 'do', 'not', 'even', 'have', 'to', 'put', 'it', 'on', 'it', 'is', 'loudest', 'set']",1
Due to this happening on every call I was forced to stop using this headset.,due to this happening on every call i was forced to stop using this headset,"['due', 'to', 'thi', 'happen', 'on', 'everi', 'call', 'i', 'wa', 'forc', 'to', 'stop', 'use', 'thi', 'headset']",0
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,ursula burton s portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church,"['ursula', 'burton', 's', 'portray', 'of', 'the', 'nun', 'is', 'both', 'touch', 'and', 'funni', 'at', 'the', 'same', 'time', 'with', 'out', 'make', 'fun', 'of', 'nun', 'or', 'the', 'church']",1
;) Recommend with confidence!  ,recommend with confidence,"['recommend', 'with', 'confid']",1
"I saw this film over Christmas, and what a great film it was!  ",i saw this film over christmas and what a great film it was,"['i', 'saw', 'thi', 'film', 'over', 'christma', 'and', 'what', 'a', 'great', 'film', 'it', 'wa']",1
The volume for the ringer is REAL good (you have choices how loud).,the volume for the ringer is real good you have choices how loud,"['the', 'volum', 'for', 'the', 'ringer', 'is', 'real', 'good', 'you', 'have', 'choic', 'how', 'loud']",1
My fiancé and I came in the middle of the day and we were greeted and seated right away.,my fiancé and i came in the middle of the day and we were greeted and seated right away,"['my', 'fianc', 'and', 'i', 'came', 'in', 'the', 'middl', 'of', 'the', 'day', 'and', 'we', 'were', 'greet', 'and', 'seat', 'right', 'away']",1
It's worth driving up from Tucson!,it is worth driving up from tucson,"['it', 'is', 'worth', 'drive', 'up', 'from', 'tucson']",1
The RI style calamari was a joke.,the ri style calamari was a joke,"['the', 'ri', 'style', 'calamari', 'wa', 'a', 'joke']",0
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",we got sitting fairly fast but ended up waiting minutes just to place our order another minutes before the food arrived,"['we', 'got', 'sit', 'fairli', 'fast', 'but', 'end', 'up', 'wait', 'minut', 'just', 'to', 'place', 'our', 'order', 'anoth', 'minut', 'befor', 'the', 'food', 'arriv']",0
Waitress was sweet and funny.,waitress was sweet and funny,"['waitress', 'wa', 'sweet', 'and', 'funni']",1
The only thing that I think could improve is the sound leaks out from the headset.,the only thing that i think could improve is the sound leaks out from the headset,"['the', 'onli', 'thing', 'that', 'i', 'think', 'could', 'improv', 'is', 'the', 'sound', 'leak', 'out', 'from', 'the', 'headset']",0
The waiter wasn't helpful or friendly and rarely checked on us.,the waiter wasn t helpful or friendly and rarely checked on us,"['the', 'waiter', 'wasn', 't', 'help', 'or', 'friendli', 'and', 'rare', 'check', 'on', 'us']",0
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",if i take a picture the battery drops a bar and starts beeping letting me know its dieing,"['if', 'i', 'take', 'a', 'pictur', 'the', 'batteri', 'drop', 'a', 'bar', 'and', 'start', 'beep', 'let', 'me', 'know', 'it', 'die']",0
I would have casted her in that role after ready the script.  ,i would have casted her in that role after ready the script,"['i', 'would', 'have', 'cast', 'her', 'in', 'that', 'role', 'after', 'readi', 'the', 'script']",1
Works as described.,works as described,"['work', 'as', 'describ']",1
none of the new ones have ever quite worked properly.,none of the new ones have ever quite worked properly,"['none', 'of', 'the', 'new', 'one', 'have', 'ever', 'quit', 'work', 'properli']",0
This phone is pretty sturdy and I've never had any large problems with it.,this phone is pretty sturdy and i have never had any large problems with it,"['thi', 'phone', 'is', 'pretti', 'sturdi', 'and', 'i', 'have', 'never', 'had', 'ani', 'larg', 'problem', 'with', 'it']",1
"I really recommend this faceplates since it looks very nice, elegant and cool.",i really recommend this faceplates since it looks very nice elegant and cool,"['i', 'realli', 'recommend', 'thi', 'facepl', 'sinc', 'it', 'look', 'veri', 'nice', 'eleg', 'and', 'cool']",1
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,i have tried several different earpieces for my cell phone and this jabra one is the first one i have found that fits my ear comfortably,"['i', 'have', 'tri', 'sever', 'differ', 'earpiec', 'for', 'my', 'cell', 'phone', 'and', 'thi', 'jabra', 'one', 'is', 'the', 'first', 'one', 'i', 'have', 'found', 'that', 'fit', 'my', 'ear', 'comfort']",1
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",insults profound deuchebaggery and had to go outside for a smoke break while serving just to solidify it,"['insult', 'profound', 'deuchebaggeri', 'and', 'had', 'to', 'go', 'outsid', 'for', 'a', 'smoke', 'break', 'while', 'serv', 'just', 'to', 'solidifi', 'it']",0
Phone falls out easily.,phone falls out easily,"['phone', 'fall', 'out', 'easili']",0
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,not a good item it worked for a while then started having problems in my auto reverse tape player,"['not', 'a', 'good', 'item', 'it', 'work', 'for', 'a', 'while', 'then', 'start', 'have', 'problem', 'in', 'my', 'auto', 'revers', 'tape', 'player']",0
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,you need two hands to operate the screen this software interface is decade old and cannot compete with new software designs,"['you', 'need', 'two', 'hand', 'to', 'oper', 'the', 'screen', 'thi', 'softwar', 'interfac', 'is', 'decad', 'old', 'and', 'cannot', 'compet', 'with', 'new', 'softwar', 'design']",0
The plot was the same as pretty much every other cheap horror.  ,the plot was the same as pretty much every other cheap horror,"['the', 'plot', 'wa', 'the', 'same', 'as', 'pretti', 'much', 'everi', 'other', 'cheap', 'horror']",0
My wife had the Lobster Bisque soup which was lukewarm.,my wife had the lobster bisque soup which was lukewarm,"['my', 'wife', 'had', 'the', 'lobster', 'bisqu', 'soup', 'which', 'wa', 'lukewarm']",0
Good audio quality.,good audio quality,"['good', 'audio', 'qualiti']",1
"The burger is good beef, cooked just right.",the burger is good beef cooked just right,"['the', 'burger', 'is', 'good', 'beef', 'cook', 'just', 'right']",1
I came back today since they relocated and still not impressed.,i came back today since they relocated and still not impressed,"['i', 'came', 'back', 'today', 'sinc', 'they', 'reloc', 'and', 'still', 'not', 'impress']",0
"The chicken dishes are OK, the beef is like shoe leather.",the chicken dishes are ok the beef is like shoe leather,"['the', 'chicken', 'dish', 'are', 'ok', 'the', 'beef', 'is', 'like', 'shoe', 'leather']",0
Having trouble with volume.,having trouble with volume,"['have', 'troubl', 'with', 'volum']",0
Great sound and service.,great sound and service,"['great', 'sound', 'and', 'servic']",1
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,the only thing i wasn t too crazy about was their guacamole as i do not like it puréed,"['the', 'onli', 'thing', 'i', 'wasn', 't', 'too', 'crazi', 'about', 'wa', 'their', 'guacamol', 'as', 'i', 'do', 'not', 'like', 'it', 'pur', 'ed']",0
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,the problem i have is that they charge for a sandwich that is no bigger than a subway sub which offers better and more amount of vegetables,"['the', 'problem', 'i', 'have', 'is', 'that', 'they', 'charg', 'for', 'a', 'sandwich', 'that', 'is', 'no', 'bigger', 'than', 'a', 'subway', 'sub', 'which', 'offer', 'better', 'and', 'more', 'amount', 'of', 'veget']",0
"Lastly, the mozzarella sticks, they were the best thing we ordered.",lastly the mozzarella sticks they were the best thing we ordered,"['lastli', 'the', 'mozzarella', 'stick', 'they', 'were', 'the', 'best', 'thing', 'we', 'order']",1
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,also the area where my unit broke i am not too fond of the magnetic strap,"['also', 'the', 'area', 'where', 'my', 'unit', 'broke', 'i', 'am', 'not', 'too', 'fond', 'of', 'the', 'magnet', 'strap']",0
